Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 28878, 3137, 11920600, 1029517, 2494539, 5771382, 31294 
97, 28866, 44, 167200, 29477, 54145, 163606, 5327 
98, 28866, 106, 402800, 117849, 265683, 272996, 2596 
99, 28866, 25, 95000, 29210, 53761, 94787, 2548 
100, 28866, 96, 368600, 117823, 265674, 278809, 2636 
101, 28866, 25, 95000, 29214, 53793, 93021, 2551 
102, 28866, 99, 376200, 117835, 265704, 262520, 2532 
103, 28866, 27, 98800, 29191, 53731, 100799, 2521 
104, 28866, 94, 361000, 117847, 265697, 271105, 2554 
105, 28866, 57, 216600, 85510, 232504, 180981, 1116 
106, 28866, 1, 0, 361, 704, 3353, 6 
1, 28879, 3264, 12399400, 1047237, 2534943, 6113856, 31481 
107, 28866, 7, 26600, 467, 887, 21326, 181 
108, 28866, 608, 2310400, 237869, 427815, 1392895, 36758 
109, 28866, 2, 7600, 494, 793, 9526, 99 
110, 28866, 1, 3800, 343, 704, 2612, 6 
1, 28880, 4391, 16685800, 1093430, 2627595, 6958298, 38112 
111, 28866, 2, 11400, 420, 883, 9571, 65 
112, 28866, 70, 266000, 20602, 80767, 162558, 2517 
113, 28866, 41, 155800, 29763, 55069, 152628, 5161 
114, 28866, 103, 391400, 117846, 265696, 275779, 2586 
115, 28866, 2, 3800, 410, 727, 6344, 47 
116, 28866, 1, 0, 345, 704, 2702, 3 
1, 28881, 3179, 12084000, 1030833, 2500319, 5608323, 31352 
117, 28866, 44, 167200, 29479, 54145, 163696, 5337 
118, 28866, 108, 410400, 117848, 265683, 290131, 2592 
119, 28866, 27, 98800, 29212, 53761, 100691, 2568 
120, 28866, 97, 368600, 117826, 265674, 278909, 2621 
121, 28866, 25, 95000, 29222, 53793, 94977, 2561 
122, 28866, 95, 364800, 117869, 265704, 271755, 2575 
123, 28866, 27, 102600, 29190, 53731, 99760, 2524 
124, 28866, 102, 383800, 117837, 265697, 267053, 2526 
125, 28866, 59, 220400, 85555, 232651, 185876, 1150 
126, 28866, 1, 3800, 343, 704, 2934, 3 
1, 28882, 3416, 12984600, 1049407, 2543817, 6094660, 31664 
127, 28866, 7, 26600, 480, 887, 23031, 207 
128, 28866, 607, 2306600, 237884, 427815, 1362829, 36834 
