#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github-test/PIM/rodinia/nw/nw.exe
#ApplicationArgs=2048 10 ./nw.cl
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
nw_kernel1_pim__k1_Tahiti1, 15, 6571, 0, {     32       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         2.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.07,         0.05,        10.19,        33.22,         0.00,         0.05,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 16, 6572, 0, {     48       1       1}, {   16     1     1},         0.03452, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.12,         0.09,        13.19,        40.87,         2.00,         0.06,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 17, 6573, 0, {     32       1       1}, {   16     1     1},         0.03496, 2304, 26, 22, 0, NA,         2.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.07,         0.05,        10.19,        33.22,         0.00,         0.00,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 18, 6574, 0, {     32       1       1}, {   16     1     1},         0.03496, 2304, 26, 22, 0, NA,         2.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.08,         0.06,        10.19,        33.22,         3.96,         0.11,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 19, 6575, 0, {     48       1       1}, {   16     1     1},         0.35200, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.10,         0.07,        13.19,        40.87,         3.22,         0.09,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 20, 6576, 0, {     48       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.12,         0.09,        13.19,        40.87,         4.00,         0.11,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 21, 6577, 0, {     32       1       1}, {   16     1     1},         0.03511, 2304, 26, 22, 0, NA,         2.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.07,         0.05,        10.19,        33.22,         3.27,         0.09,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 22, 6578, 0, {     48       1       1}, {   16     1     1},         0.03437, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.12,         0.09,        13.19,        40.87,         3.96,         0.11,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 23, 6579, 0, {     48       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.10,         0.07,        13.19,        40.87,         3.08,         0.09,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 24, 6580, 0, {     48       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.10,         0.07,        13.19,        40.87,         1.54,         0.04,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 25, 6581, 0, {     64       1       1}, {   16     1     1},         0.03437, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.13,         0.09,        16.19,        44.69,         3.15,         0.09,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 26, 6582, 0, {     48       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.12,         0.09,        13.19,        40.87,         1.99,         0.06,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 27, 6583, 0, {     48       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.12,         0.09,        13.19,        40.87,         3.96,         0.11,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 28, 6584, 0, {     64       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.13,         0.09,        16.19,        44.69,         1.57,         0.04,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 29, 6585, 0, {     64       1       1}, {   16     1     1},         0.03452, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.13,         0.09,        16.19,        44.69,         1.56,         0.04,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 30, 6586, 0, {     48       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         3.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.10,         0.07,        13.19,        40.87,         3.31,         0.09,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 31, 6587, 0, {     64       1       1}, {   16     1     1},         0.03496, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.14,         0.10,        16.19,        44.69,         3.30,         0.09,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 32, 6588, 0, {     64       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.14,         0.10,        16.19,        44.69,         3.28,         0.09,         0.00,         0.03,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 33, 6589, 0, {     64       1       1}, {   16     1     1},         0.03452, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.16,         0.12,        16.19,        44.69,         3.98,         0.11,         0.00,         0.04,         0.00,         0.00
