Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
82, 6555, 1, 3800, 340, 704, 2916, 8 
1, 6573, 3811, 14481800, 1025350, 2485248, 5504911, 32658 
83, 6555, 2, 7600, 377, 661, 7126, 66 
84, 6555, 1, 3800, 345, 704, 2961, 10 
1, 6574, 4183, 15895400, 1025428, 2483482, 5766314, 33049 
85, 6555, 3225, 12255000, 3026173, 5035086, 12179224, 279586 
86, 6555, 8218, 31228400, 8417754, 25196013, 23184661, 525659 
87, 6555, 9974, 37901200, 8417834, 25195755, 29914314, 525521 
88, 6555, 14977, 56908800, 14476637, 35261255, 48616371, 1078268 
89, 6555, 3141, 11935800, 3033223, 5033121, 11876264, 280072 
90, 6555, 3176, 12065000, 3033286, 5033121, 12006873, 280094 
91, 6555, 15, 57000, 4037, 9552, 29541, 213 
92, 6555, 1, 3800, 346, 704, 2844, 5 
1, 6575, 4476, 17012600, 1027068, 2482992, 5908531, 36136 
93, 6555, 1, 7600, 380, 661, 6696, 63 
94, 6555, 1, 3800, 345, 704, 3088, 9 
1, 6576, 4174, 15865000, 1026957, 2482774, 6109229, 35312 
95, 6555, 2, 7600, 379, 661, 7254, 65 
96, 6555, 4, 11400, 342, 704, 11444, 11 
1, 6577, 4618, 17544600, 1027349, 2485347, 6367059, 35678 
97, 6555, 3096, 11768600, 3026193, 5035086, 11654565, 279595 
98, 6555, 8369, 31806000, 8417814, 25196015, 23550454, 525623 
99, 6555, 9308, 35370400, 8417769, 25196016, 26699067, 525666 
100, 6555, 14798, 56232400, 14476823, 35261255, 48320511, 1078745 
101, 6555, 3115, 11840800, 3033198, 5033121, 11785077, 280041 
102, 6555, 3168, 12038400, 3033226, 5033121, 11983800, 280128 
103, 6555, 14, 53200, 4018, 9525, 27718, 221 
104, 6555, 1, 3800, 345, 704, 2980, 3 
1, 6578, 4688, 17818200, 1026509, 2483634, 6378325, 34474 
105, 6555, 2, 7600, 379, 661, 7008, 65 
106, 6555, 1, 3800, 342, 704, 3147, 7 
1, 6579, 4637, 17616800, 1027478, 2482712, 5810397, 36426 
107, 6555, 2, 7600, 374, 661, 7085, 63 
108, 6555, 1, 3800, 340, 704, 3175, 10 
1, 6580, 4291, 16309600, 1027446, 2486560, 5834998, 34661 
109, 6555, 3106, 11806600, 3026162, 5035085, 11726517, 279601 
110, 6555, 8437, 32056800, 8417796, 25196014, 23671752, 525649 
111, 6555, 8503, 32315200, 8417768, 25196009, 24348359, 525707 
112, 6555, 14951, 56810000, 14475687, 35261511, 48798170, 1078544 
113, 6555, 3151, 11973800, 3033244, 5033121, 11906820, 280037 
114, 6555, 3167, 12034600, 3033240, 5033121, 11965524, 280074 
115, 6555, 15, 57000, 4069, 9639, 30113, 219 
116, 6555, 1, 3800, 343, 704, 2633, 6 
1, 6581, 4199, 15956200, 1023516, 2481296, 6162233, 32197 
117, 6555, 2, 7600, 375, 661, 7336, 60 
118, 6555, 1, 3800, 342, 704, 3249, 11 
1, 6582, 4336, 16476800, 1024093, 2479555, 5783666, 34558 
119, 6555, 2, 7600, 380, 661, 7456, 68 
120, 6555, 3, 11400, 343, 704, 10990, 10 
1, 6583, 4627, 17582600, 1025907, 2479619, 6223930, 36610 
121, 6555, 3127, 11882600, 3026021, 5035085, 11808645, 279556 
122, 6555, 9383, 35655400, 8417860, 25196271, 26799768, 525708 
123, 6555, 8333, 31661600, 8417766, 25196016, 23628145, 525772 
124, 6555, 14955, 56829000, 14475743, 35261512, 48664148, 1078909 
125, 6555, 3149, 11966200, 3033248, 5033121, 11912184, 280128 
126, 6555, 3208, 12190400, 3033256, 5033121, 12128914, 280106 
127, 6555, 14, 57000, 4066, 9644, 29019, 219 
128, 6555, 1, 3800, 343, 704, 2618, 4 
1, 6584, 4000, 15200000, 1024349, 2482358, 6156289, 32822 
129, 6555, 2, 7600, 376, 661, 6819, 63 
130, 6555, 1, 3800, 343, 704, 3328, 8 
1, 6585, 3809, 14474200, 1024387, 2481581, 5635865, 32289 
131, 6555, 2, 7600, 379, 661, 6976, 65 
132, 6555, 1, 3800, 339, 704, 3287, 16 
1, 6586, 4216, 16020800, 1025556, 2483064, 5855637, 33748 
133, 6555, 3151, 11977600, 3026049, 5035085, 11901664, 279551 
134, 6555, 8365, 31783200, 8417776, 25196271, 23620986, 525778 
135, 6555, 8341, 31695800, 8417691, 25196265, 23576224, 525933 
136, 6555, 15209, 57794200, 14475592, 35261511, 48565764, 1078646 
137, 6555, 3129, 11886400, 3033258, 5033122, 11816654, 280074 
138, 6555, 3174, 12057400, 3033278, 5033121, 11992523, 280083 
139, 6555, 14, 57000, 4055, 9617, 28042, 214 
140, 6555, 1, 3800, 346, 704, 2742, 3 
1, 6587, 4128, 15690200, 1026777, 2483402, 6130280, 33947 
141, 6555, 2, 3800, 378, 661, 6884, 64 
142, 6555, 0, 3800, 341, 704, 2971, 10 
1, 6588, 4288, 16290600, 1025521, 2480758, 5835908, 34716 
143, 6555, 2, 7600, 380, 661, 7218, 63 
144, 6555, 1, 3800, 343, 704, 3212, 10 
1, 6589, 4207, 15990400, 1024588, 2482189, 5725895, 32119 
145, 6555, 3139, 11932000, 3026206, 5035086, 11854188, 279572 
146, 6555, 8456, 32136600, 8417761, 25196271, 23618059, 525800 
147, 6555, 8296, 31524800, 8417679, 25196268, 23615210, 525942 
148, 6555, 15040, 57152000, 14475772, 35261765, 48911135, 1078442 
149, 6555, 3202, 12167600, 3033281, 5033121, 12095453, 280039 
150, 6555, 3174, 12061200, 3033265, 5033122, 11982316, 280131 
151, 6555, 15, 53200, 4057, 9639, 29394, 215 
152, 6555, 1, 3800, 343, 704, 2761, 6 
1, 6590, 4339, 16492000, 1026669, 2481725, 5832373, 36456 
153, 6555, 2, 7600, 379, 661, 7152, 62 
154, 6555, 3, 15200, 345, 704, 11854, 10 
1, 6591, 4451, 16910000, 1024739, 2480160, 6127349, 35786 
155, 6555, 2, 7600, 375, 661, 7608, 65 
156, 6555, 1, 3800, 339, 704, 3080, 8 
1, 6592, 4258, 16184200, 1024390, 2478141, 6008784, 34074 
157, 6555, 3116, 11844600, 3026161, 5035085, 11770397, 279591 
158, 6555, 8428, 32026400, 8417750, 25196529, 23743847, 525796 
159, 6555, 8271, 31433600, 8417739, 25196254, 23526276, 525817 
160, 6555, 14908, 56646600, 14476629, 35261768, 48824088, 1078729 
161, 6555, 3159, 12000400, 3033207, 5033121, 11944159, 280136 
162, 6555, 3185, 12103000, 3033255, 5033122, 12026668, 280123 
163, 6555, 15, 53200, 4073, 9690, 29130, 221 
164, 6555, 1, 3800, 345, 704, 2793, 3 
1, 6593, 4397, 16712400, 1025756, 2483516, 6389548, 35287 
165, 6555, 2, 3800, 380, 661, 6306, 55 
166, 6555, 1, 3800, 341, 704, 3593, 9 
1, 6594, 4325, 16435000, 1025787, 2482229, 5917206, 35544 
167, 6555, 2, 7600, 376, 661, 6928, 62 
168, 6555, 1, 3800, 342, 704, 3427, 8 
1, 6595, 4507, 17126600, 1034551, 2498413, 6278535, 37480 
169, 6555, 2992, 11373400, 3026129, 5035122, 11284614, 279479 
170, 6555, 8291, 31509600, 8417795, 25196526, 23345796, 525748 
171, 6555, 8296, 31524800, 8417618, 25196522, 23537533, 526046 
172, 6555, 15066, 57254600, 14476558, 35261769, 49363883, 1078636 
173, 6555, 3117, 11848400, 3033186, 5033121, 11775083, 280033 
174, 6555, 3174, 12061200, 3033266, 5033122, 11952708, 280055 
175, 6555, 15, 53200, 4067, 9663, 29050, 216 
176, 6555, 1, 3800, 342, 704, 2668, 5 
1, 6596, 4160, 15811800, 1025808, 2482880, 6101431, 36305 
177, 6555, 2, 7600, 379, 661, 7394, 67 
178, 6555, 1, 3800, 341, 704, 3403, 9 
1, 6597, 4652, 17681400, 1027814, 2486589, 6299308, 36323 
179, 6555, 2, 7600, 379, 661, 6948, 64 
180, 6555, 1, 3800, 343, 704, 3506, 8 
1, 6598, 4426, 16818800, 1027583, 2486553, 6086602, 35635 
181, 6555, 3141, 11935800, 3026179, 5035123, 11834156, 279622 
182, 6555, 8329, 31650200, 8417735, 25196523, 23366376, 525782 
183, 6555, 8189, 31122000, 8417755, 25196520, 23195583, 525985 
184, 6555, 14984, 56939200, 14475578, 35262025, 48887893, 1078756 
185, 6555, 3139, 11932000, 3033212, 5033122, 11817607, 280126 
186, 6555, 3167, 12034600, 3033247, 5033121, 11967881, 280074 
187, 6555, 16, 57000, 4075, 9685, 28105, 209 
188, 6555, 1, 3800, 343, 704, 2670, 7 
1, 6599, 4251, 16153800, 1029476, 2491370, 6211357, 35133 
189, 6555, 2, 7600, 374, 661, 7529, 63 
190, 6555, 1, 3800, 342, 704, 3491, 11 
1, 6600, 4273, 16241200, 1028592, 2489285, 6044383, 36465 
191, 6555, 2, 7600, 379, 661, 7533, 65 
192, 6555, 1, 3800, 341, 704, 2883, 10 
1, 6601, 3838, 14584400, 1027072, 2489011, 5903483, 33700 
193, 6555, 3146, 11958600, 3026131, 5035121, 11614188, 279725 
194, 6555, 8384, 31859200, 8417675, 25196784, 23693374, 526010 
195, 6555, 8613, 32729400, 8417683, 25196524, 24812992, 526009 
196, 6555, 15026, 57102600, 14476646, 35262024, 49124644, 1078734 
197, 6555, 3163, 12019400, 3033265, 5033121, 11944682, 280172 
198, 6555, 3177, 12072600, 3033203, 5033121, 12016046, 280066 
199, 6555, 15, 53200, 4076, 9690, 29756, 212 
200, 6555, 1, 3800, 341, 704, 2890, 9 
1, 6602, 4214, 16013200, 1028561, 2488950, 6212937, 36879 
201, 6555, 2, 7600, 376, 661, 7240, 64 
202, 6555, 2, 11400, 344, 704, 9429, 9 
1, 6603, 4379, 16644000, 1030855, 2494215, 6339533, 35170 
203, 6555, 1, 7600, 380, 661, 7202, 62 
204, 6555, 1, 3800, 345, 704, 2981, 6 
1, 6604, 4282, 16275400, 1030509, 2497609, 5843630, 33545 
205, 6555, 3168, 12038400, 3026034, 5035122, 11909352, 279564 
206, 6555, 8583, 32619200, 8417704, 25196784, 23726937, 525859 
207, 6555, 8376, 31832600, 8417595, 25196777, 23675799, 526227 
208, 6555, 15492, 58865800, 14475746, 35262026, 50735210, 1079181 
209, 6555, 3115, 11833200, 3033248, 5033121, 11787006, 280036 
210, 6555, 3171, 12046000, 3033227, 5033121, 11990563, 280036 
211, 6555, 14, 57000, 4060, 9663, 27937, 220 
212, 6555, 1, 3800, 343, 704, 2998, 3 
1, 6605, 4048, 15378600, 1030302, 2497006, 6007764, 35172 
213, 6555, 2, 7600, 376, 661, 7784, 66 
214, 6555, 1, 3800, 343, 704, 2984, 11 
1, 6606, 4165, 15827000, 1031542, 2498853, 5916136, 33805 
215, 6555, 2, 7600, 380, 661, 7811, 66 
216, 6555, 0, 3800, 344, 704, 3231, 11 
1, 6607, 4302, 16351400, 1032264, 2499348, 6309081, 36119 
217, 6555, 3160, 12008000, 3026168, 5035121, 11927167, 279534 
218, 6555, 8725, 33158800, 8417838, 25196784, 24923094, 525863 
219, 6555, 8198, 31152400, 8417702, 25196782, 23226308, 526129 
220, 6555, 14941, 56779600, 14476647, 35262280, 48866762, 1078840 
221, 6555, 3157, 11996600, 3033245, 5033121, 11944968, 280180 
