Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
103, 23839, 1, 3800, 352, 721, 3406, 2 
104, 23839, 1, 3800, 351, 721, 3132, 2 
105, 23839, 1, 3800, 352, 721, 3106, 3 
106, 23839, 20, 72200, 3352, 6287, 48187, 683 
107, 23839, 1, 3800, 349, 719, 3203, 1 
108, 23839, 1, 3800, 350, 719, 3276, 0 
109, 23839, 1, 0, 350, 719, 3169, 1 
110, 23839, 7, 26600, 6982, 18685, 26174, 46 
111, 23839, 1, 3800, 353, 721, 3638, 2 
112, 23839, 3, 15200, 461, 943, 6469, 11 
113, 23839, 1, 0, 348, 719, 3165, 0 
114, 23839, 4, 15200, 1918, 4131, 15661, 35 
115, 23839, 0, 3800, 344, 704, 2902, 2 
1, 23850, 2660, 10111800, 1021216, 2482126, 5189204, 26368 
116, 23839, 3, 11400, 405, 687, 9008, 94 
117, 23839, 1, 3800, 344, 704, 3485, 11 
1, 23851, 2907, 11046600, 1031257, 2501898, 5289140, 29555 
118, 23839, 14, 53200, 1306, 2116, 49741, 487 
119, 23839, 1, 3800, 345, 704, 2989, 7 
1, 23852, 2249, 8542400, 1010666, 2462731, 4771375, 22162 
120, 23839, 30, 114000, 4430, 9228, 78779, 711 
121, 23839, 1, 3800, 355, 721, 3704, 6 
122, 23839, 0, 3800, 353, 721, 3144, 2 
123, 23839, 1, 3800, 350, 721, 3089, 5 
124, 23839, 31, 117800, 3367, 6287, 70046, 1407 
125, 23839, 1, 3800, 357, 719, 3304, 6 
126, 23839, 1, 3800, 352, 719, 3283, 2 
127, 23839, 1, 3800, 350, 719, 3358, 1 
128, 23839, 15, 53200, 3273, 6722, 60383, 493 
129, 23839, 1, 3800, 354, 721, 4212, 11 
130, 23839, 1, 0, 354, 721, 3172, 1 
131, 23839, 1, 0, 351, 721, 3186, 5 
132, 23839, 25, 95000, 3365, 6287, 60930, 1398 
133, 23839, 1, 3800, 350, 719, 3326, 1 
134, 23839, 1, 3800, 350, 719, 3396, 1 
135, 23839, 1, 3800, 350, 719, 3230, 1 
136, 23839, 10, 34200, 7255, 19393, 36402, 230 
137, 23839, 1, 3800, 356, 721, 3533, 2 
138, 23839, 3, 11400, 460, 943, 6468, 10 
139, 23839, 1, 3800, 348, 719, 3258, 0 
140, 23839, 5, 19000, 1939, 4209, 17548, 60 
141, 23839, 1, 3800, 344, 704, 2926, 4 
1, 23853, 2801, 10640000, 1021220, 2484761, 5390720, 23286 
142, 23839, 2, 7600, 403, 687, 8298, 83 
143, 23839, 1, 3800, 344, 704, 3539, 9 
1, 23854, 2756, 10472800, 1034311, 2509032, 5543277, 29185 
144, 23839, 14, 53200, 1239, 2013, 50739, 485 
145, 23839, 1, 0, 344, 704, 2901, 9 
1, 23855, 2450, 9310000, 1013842, 2469672, 4632473, 21631 
146, 23839, 32, 121600, 4588, 9523, 84190, 758 
147, 23839, 1, 3800, 358, 721, 3251, 7 
148, 23839, 1, 3800, 353, 721, 3367, 3 
149, 23839, 1, 0, 352, 721, 3466, 6 
150, 23839, 28, 106400, 3374, 6288, 61313, 1395 
151, 23839, 1, 3800, 360, 719, 3375, 1 
152, 23839, 1, 3800, 351, 719, 3328, 0 
153, 23839, 1, 0, 350, 719, 3167, 0 
154, 23839, 5, 22800, 2917, 6643, 20172, 50 
155, 23839, 1, 3800, 351, 721, 3672, 7 
156, 23839, 1, 3800, 351, 721, 3181, 1 
157, 23839, 0, 3800, 351, 721, 3192, 2 
158, 23839, 20, 76000, 3349, 6287, 47999, 685 
