Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
94, 12456, 1, 3800, 340, 704, 3321, 8 
1, 12471, 3362, 12779400, 1016815, 2468128, 5235097, 31150 
95, 12456, 2, 7600, 356, 639, 7197, 61 
96, 12456, 1, 3800, 339, 704, 3229, 12 
1, 12472, 3358, 12764200, 1017523, 2468433, 5308125, 31368 
97, 12456, 3, 11400, 374, 719, 8462, 67 
98, 12456, 1, 0, 338, 705, 2327, 5 
99, 12456, 0, 0, 338, 705, 1906, 0 
100, 12456, 1, 3800, 324, 669, 3378, 20 
101, 12456, 7198, 27352400, 17449868, 38242211, 26405676, 392269 
102, 12456, 1, 3800, 391, 729, 6010, 31 
103, 12456, 7121, 27063600, 18374148, 39193314, 26296105, 392189 
104, 12456, 2, 7600, 399, 729, 7241, 59 
105, 12456, 7118, 27056000, 18247266, 39068713, 26267182, 392166 
106, 12456, 3, 7600, 796, 2027, 9665, 74 
107, 12456, 5, 15200, 478, 1008, 6500, 23 
108, 12456, 1, 3800, 353, 721, 3663, 5 
109, 12456, 2, 7600, 480, 1008, 4935, 1 
110, 12456, 1, 3800, 353, 721, 3471, 0 
111, 12456, 3, 7600, 474, 1008, 4847, 1 
112, 12456, 14, 57000, 2564, 5000, 31921, 293 
113, 12456, 1, 3800, 343, 704, 2725, 3 
1, 12473, 3394, 12897200, 1014861, 2464463, 5387301, 31300 
114, 12456, 3, 7600, 356, 639, 8088, 64 
115, 12456, 2, 3800, 337, 704, 5183, 10 
1, 12474, 3482, 13235400, 1016782, 2465110, 5443058, 34689 
116, 12456, 2, 7600, 357, 639, 7419, 62 
117, 12456, 3, 7600, 340, 704, 9226, 7 
1, 12475, 3419, 12988400, 1015902, 2464424, 5585868, 32770 
118, 12456, 2, 7600, 370, 719, 7460, 64 
119, 12456, 1, 3800, 341, 705, 2373, 4 
120, 12456, 1, 3800, 334, 705, 1976, 2 
121, 12456, 1, 7600, 327, 669, 3835, 25 
122, 12456, 7180, 27284000, 17773422, 38522013, 26355198, 392289 
123, 12456, 2, 7600, 419, 729, 8896, 77 
124, 12456, 7149, 27170000, 18434963, 39193314, 26407437, 392177 
125, 12456, 2, 3800, 395, 729, 5678, 49 
126, 12456, 7130, 27097800, 18367956, 39114391, 26341257, 392214 
127, 12456, 3, 11400, 817, 2027, 13371, 110 
128, 12456, 4, 19000, 484, 1008, 6259, 48 
129, 12456, 1, 3800, 347, 721, 2907, 0 
130, 12456, 4, 11400, 469, 1008, 4565, 3 
131, 12456, 1, 3800, 348, 721, 2799, 0 
132, 12456, 3, 11400, 475, 1008, 4344, 3 
133, 12456, 15, 57000, 2487, 4788, 30008, 301 
134, 12456, 1, 3800, 345, 704, 2709, 6 
1, 12478, 3037, 11544400, 1016242, 2466722, 5623220, 31866 
135, 12456, 2, 7600, 357, 639, 6920, 60 
136, 12456, 1, 3800, 343, 704, 3329, 6 
1, 12479, 3187, 12110600, 1016945, 2467785, 5394032, 30643 
137, 12456, 2, 7600, 356, 639, 7668, 66 
138, 12456, 1, 7600, 342, 704, 3337, 11 
1, 12480, 3263, 12403200, 1017368, 2470128, 5180501, 31054 
139, 12456, 2, 11400, 373, 719, 7496, 65 
140, 12456, 1, 3800, 342, 705, 2338, 4 
141, 12456, 0, 3800, 333, 705, 2031, 1 
142, 12456, 1, 3800, 324, 669, 3744, 23 
143, 12456, 7235, 27496800, 18003413, 38776514, 26525312, 392228 
144, 12456, 2, 7600, 406, 729, 9675, 76 
145, 12456, 7140, 27132000, 18348817, 39193314, 26360004, 392262 
146, 12456, 2, 3800, 393, 729, 7230, 50 
147, 12456, 7105, 26999000, 18327750, 39144317, 26286932, 392166 
148, 12456, 2, 7600, 791, 2027, 8521, 63 
149, 12456, 4, 15200, 473, 1008, 6429, 27 
150, 12456, 1, 3800, 352, 721, 3520, 6 
151, 12456, 3, 11400, 474, 1008, 5357, 4 
152, 12456, 1, 3800, 351, 721, 3502, 1 
153, 12456, 3, 11400, 473, 1008, 4737, 1 
154, 12456, 14, 57000, 2482, 4799, 29927, 293 
155, 12456, 1, 3800, 343, 704, 2973, 5 
1, 12481, 3134, 11909200, 1017821, 2469740, 5479830, 32354 
156, 12456, 2, 7600, 354, 639, 6561, 56 
157, 12456, 1, 3800, 345, 704, 3351, 9 
1, 12482, 3335, 12673000, 1015784, 2465167, 5817028, 33181 
158, 12456, 2, 7600, 351, 639, 7341, 63 
159, 12456, 1, 3800, 340, 704, 3141, 9 
1, 12483, 3347, 12718600, 1016365, 2466848, 5252653, 31431 
160, 12456, 2, 7600, 370, 719, 7850, 70 
161, 12456, 0, 3800, 341, 705, 2387, 7 
162, 12456, 1, 3800, 333, 705, 2009, 2 
163, 12456, 1, 3800, 326, 669, 3433, 19 
164, 12456, 7270, 27633600, 18179700, 38981073, 26700011, 392220 
165, 12456, 2, 7600, 391, 729, 6255, 42 
166, 12456, 7130, 27097800, 18435043, 39193314, 26322178, 392127 
167, 12456, 1, 7600, 399, 729, 6102, 48 
168, 12456, 7145, 27154800, 18426680, 39171982, 26358803, 392167 
169, 12456, 4, 11400, 807, 2027, 16451, 154 
170, 12456, 7, 26600, 480, 1008, 7437, 30 
171, 12456, 1, 3800, 352, 721, 3610, 2 
172, 12456, 3, 11400, 471, 1008, 4904, 3 
173, 12456, 1, 3800, 350, 721, 2980, 0 
174, 12456, 3, 11400, 476, 1008, 4181, 3 
175, 12456, 14, 53200, 2466, 4799, 29637, 294 
176, 12456, 1, 3800, 344, 704, 2814, 3 
1, 12484, 3436, 13056800, 1021488, 2478872, 5642625, 31348 
177, 12456, 2, 7600, 356, 639, 7173, 66 
178, 12456, 1, 3800, 346, 704, 3174, 9 
1, 12485, 3271, 12433600, 1014293, 2461127, 5299669, 31698 
179, 12456, 2, 7600, 358, 639, 6782, 57 
180, 12456, 2, 3800, 340, 704, 3355, 9 
1, 12486, 3342, 12695800, 1014662, 2462287, 5304167, 31518 
181, 12456, 2, 7600, 375, 719, 8063, 76 
182, 12456, 0, 3800, 340, 705, 2335, 4 
183, 12456, 0, 3800, 333, 705, 1953, 1 
184, 12456, 1, 3800, 324, 669, 3288, 18 
185, 12456, 7256, 27580400, 18314020, 39036684, 26657003, 392214 
186, 12456, 2, 3800, 390, 729, 5725, 36 
