Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
91, 25773, 3, 15200, 1331, 2989, 8036, 16 
92, 25773, 1, 3800, 495, 1056, 4222, 1 
93, 25773, 2, 7600, 403, 726, 6689, 49 
94, 25773, 1, 0, 345, 704, 3001, 3 
1, 25792, 2772, 10533600, 1022065, 2481027, 5429616, 26907 
95, 25773, 2, 7600, 353, 634, 7422, 56 
96, 25773, 1, 3800, 346, 704, 3337, 7 
1, 25793, 2516, 9564600, 1017195, 2478018, 4873100, 22576 
97, 25773, 46, 178600, 32436, 59668, 174064, 5796 
98, 25773, 96, 364800, 130373, 303827, 260538, 4017 
99, 25773, 124, 475000, 192602, 417814, 384501, 3717 
100, 25773, 17, 68400, 31341, 57445, 67867, 160 
101, 25773, 2, 7600, 400, 721, 6103, 38 
102, 25773, 1, 0, 348, 704, 2662, 2 
1, 25794, 2650, 10066200, 1020523, 2480959, 5166944, 23802 
103, 25773, 2, 7600, 354, 634, 7323, 59 
104, 25773, 1, 3800, 340, 704, 3440, 11 
1, 25795, 2690, 10222000, 1021495, 2484117, 5176328, 26828 
105, 25773, 45, 171000, 32065, 58953, 167473, 5728 
106, 25773, 119, 448400, 130390, 324864, 327522, 8115 
107, 25773, 149, 566200, 192585, 438017, 367598, 3011 
108, 25773, 26, 98800, 31336, 57445, 97969, 1025 
109, 25773, 2, 7600, 679, 1483, 9129, 48 
110, 25773, 3, 15200, 984, 2393, 7034, 15 
111, 25773, 4, 11400, 1331, 2989, 8601, 16 
112, 25773, 1, 3800, 496, 1056, 4441, 2 
113, 25773, 1, 3800, 405, 726, 6576, 50 
114, 25773, 1, 3800, 346, 704, 2715, 5 
1, 25796, 2852, 10833800, 1022743, 2478037, 5161147, 26571 
115, 25773, 1, 7600, 351, 634, 6950, 61 
116, 25773, 1, 3800, 343, 704, 3466, 9 
1, 25797, 2830, 10754000, 1019690, 2479500, 5260473, 28233 
117, 25773, 46, 178600, 32432, 59668, 172194, 5805 
118, 25773, 98, 372400, 130435, 303826, 274620, 5740 
119, 25773, 149, 566200, 192675, 417814, 465758, 9428 
120, 25773, 40, 152000, 31403, 57445, 155341, 4954 
121, 25773, 2, 7600, 400, 721, 7059, 80 
122, 25773, 1, 3800, 346, 704, 2898, 5 
1, 25798, 2733, 10385400, 1021992, 2485739, 5191216, 26749 
123, 25773, 2, 7600, 353, 634, 7935, 62 
124, 25773, 1, 3800, 340, 704, 3209, 7 
1, 25799, 2668, 10138400, 1020610, 2485948, 5126425, 23570 
125, 25773, 46, 178600, 32134, 58953, 173719, 5757 
126, 25773, 107, 406600, 130404, 324760, 307534, 8099 
127, 25773, 153, 581400, 192656, 437713, 482123, 11077 
128, 25773, 17, 64600, 31336, 57445, 63682, 36 
129, 25773, 4, 11400, 778, 1483, 14623, 163 
130, 25773, 4, 11400, 984, 2392, 7288, 28 
131, 25773, 4, 15200, 1337, 2989, 9574, 40 
132, 25773, 2, 3800, 499, 1056, 4255, 3 
133, 25773, 1, 7600, 402, 726, 6821, 49 
134, 25773, 1, 0, 342, 704, 2811, 3 
1, 25800, 2758, 10484200, 1021580, 2482213, 5338188, 26682 
135, 25773, 2, 7600, 354, 634, 7274, 60 
136, 25773, 1, 3800, 347, 704, 3392, 13 
1, 25801, 2671, 10153600, 1019479, 2479869, 5090599, 26737 
137, 25773, 46, 178600, 32422, 59668, 174657, 5803 
138, 25773, 101, 380000, 130425, 303825, 276731, 5749 
139, 25773, 126, 478800, 192619, 417812, 392298, 5364 
140, 25773, 17, 68400, 31336, 57445, 66799, 126 
141, 25773, 2, 7600, 400, 721, 6073, 48 
142, 25773, 1, 0, 340, 704, 2813, 3 
1, 25802, 2606, 9899000, 1019914, 2484039, 5058885, 26231 
143, 25773, 2, 11400, 355, 634, 7715, 58 
144, 25773, 1, 3800, 344, 704, 3532, 9 
1, 25803, 2769, 10522200, 1022655, 2488443, 5284098, 24475 
145, 25773, 46, 174800, 32138, 58953, 173922, 5771 
146, 25773, 111, 418000, 130392, 324656, 313814, 8082 
147, 25773, 123, 463600, 192586, 437414, 362279, 3028 
148, 25773, 23, 87400, 31334, 57445, 86130, 364 
149, 25773, 2, 7600, 680, 1483, 8431, 46 
150, 25773, 4, 11400, 982, 2391, 6853, 17 
151, 25773, 4, 11400, 1334, 2989, 8386, 15 
152, 25773, 2, 3800, 504, 1056, 7325, 38 
153, 25773, 2, 3800, 404, 726, 7319, 59 
154, 25773, 1, 3800, 345, 704, 3191, 3 
1, 25804, 2698, 10248600, 1019962, 2480660, 5141607, 25959 
155, 25773, 2, 7600, 350, 634, 7037, 61 
156, 25773, 1, 3800, 342, 704, 3117, 8 
1, 25805, 2491, 9465800, 1018126, 2480204, 5135025, 23120 
157, 25773, 47, 178600, 32432, 59668, 175872, 5797 
158, 25773, 103, 387600, 130429, 303824, 282413, 5752 
159, 25773, 127, 482600, 192623, 417811, 395478, 5392 
