Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
98, 7824, 5, 22800, 410, 721, 12987, 112 
99, 7824, 1, 7600, 395, 713, 6268, 58 
100, 7824, 1, 0, 344, 704, 2776, 3 
1, 7840, 3194, 12137200, 1027083, 2485665, 5872116, 32766 
101, 7824, 2, 7600, 334, 657, 6750, 68 
102, 7824, 8, 34200, 412, 721, 13577, 111 
103, 7824, 2, 7600, 398, 713, 7420, 52 
104, 7824, 1, 3800, 343, 704, 2754, 4 
1, 7841, 3550, 13490000, 1039559, 2506191, 6131555, 37035 
105, 7824, 250, 953800, 187941, 345072, 951352, 31798 
106, 7824, 1609, 6114200, 3001643, 8000994, 5499142, 31010 
107, 7824, 1599, 6076200, 3001652, 8000981, 5554946, 30181 
108, 7824, 1994, 7573400, 3374291, 8683634, 7050628, 74958 
109, 7824, 284, 1079200, 186643, 341706, 1082889, 27481 
110, 7824, 279, 1064000, 186647, 341706, 1065481, 28279 
111, 7824, 237, 896800, 186972, 342824, 904588, 31630 
112, 7824, 1600, 6080000, 3001640, 8000982, 5536753, 28363 
113, 7824, 1575, 5981200, 3001630, 8000981, 5486446, 29146 
114, 7824, 1987, 7550600, 3374302, 8683621, 7041909, 75944 
115, 7824, 291, 1105800, 186651, 341706, 1111115, 28218 
116, 7824, 272, 1033600, 186632, 341706, 1035747, 26972 
117, 7824, 2, 7600, 457, 735, 9176, 87 
118, 7824, 0, 3800, 338, 704, 2640, 4 
1, 7842, 3757, 14276600, 1030871, 2495517, 6055813, 31818 
119, 7824, 2, 11400, 369, 651, 7689, 74 
120, 7824, 1, 3800, 344, 704, 3316, 6 
1, 7843, 3383, 12851600, 1031227, 2494923, 5703998, 31800 
121, 7824, 2, 7600, 366, 651, 7319, 76 
122, 7824, 1, 3800, 345, 704, 3125, 7 
1, 7844, 3779, 14348800, 1035313, 2504105, 5769068, 32562 
123, 7824, 819, 3116000, 727010, 1236952, 3070021, 79592 
124, 7824, 2282, 8671600, 3004382, 6001721, 6661137, 125392 
125, 7824, 2416, 9184600, 3004378, 6001721, 6824113, 125430 
126, 7824, 3852, 14641400, 4457677, 8470960, 12552995, 274791 
127, 7824, 795, 3017200, 727749, 1235005, 2995053, 79451 
128, 7824, 820, 3116000, 727753, 1235006, 3057314, 79535 
129, 7824, 240, 908200, 187063, 342824, 914432, 31663 
130, 7824, 1586, 6023000, 3001648, 8000989, 5448718, 27725 
131, 7824, 1567, 5954600, 3001649, 8000989, 5458199, 28523 
132, 7824, 2000, 7603800, 3374313, 8683628, 7084962, 77169 
133, 7824, 266, 1007000, 186663, 341707, 978905, 31534 
134, 7824, 256, 969000, 186640, 341707, 952159, 24322 
135, 7824, 291, 1105800, 186951, 342825, 1091705, 31581 
136, 7824, 1604, 6091400, 3001659, 8000990, 5513909, 30128 
137, 7824, 1569, 5962200, 3001656, 8000989, 5475340, 29887 
138, 7824, 1992, 7569600, 3374321, 8683628, 7028102, 75098 
139, 7824, 282, 1071600, 186653, 341707, 1052223, 24620 
140, 7824, 276, 1048800, 186665, 341707, 1033633, 24616 
141, 7824, 297, 1128600, 186909, 342824, 1130548, 31571 
142, 7824, 1577, 5996400, 3001656, 8000988, 5438005, 29949 
143, 7824, 1560, 5924200, 3001663, 8000988, 5433689, 28418 
144, 7824, 1997, 7592400, 3374029, 8683628, 7062551, 74611 
145, 7824, 245, 934800, 186657, 341706, 936631, 25536 
146, 7824, 265, 1007000, 186628, 341706, 1009870, 24477 
147, 7824, 1, 7600, 429, 737, 8329, 68 
148, 7824, 4, 19000, 360, 722, 4247, 22 
149, 7824, 1, 3800, 370, 737, 3123, 7 
150, 7824, 3, 11400, 352, 721, 4022, 3 
151, 7824, 2, 7600, 397, 713, 6953, 51 
152, 7824, 1, 3800, 344, 704, 2779, 4 
1, 7845, 3046, 11571000, 1026731, 2487608, 5819193, 30922 
153, 7824, 2, 7600, 334, 657, 6356, 68 
154, 7824, 3, 11400, 358, 721, 4965, 11 
155, 7824, 2, 3800, 399, 713, 7023, 44 
156, 7824, 1, 0, 345, 704, 2654, 1 
1, 7846, 3253, 12361400, 1030685, 2495091, 5652316, 33303 
157, 7824, 2, 3800, 330, 657, 6133, 59 
158, 7824, 7, 26600, 360, 721, 5541, 15 
159, 7824, 2, 7600, 399, 713, 6067, 44 
160, 7824, 1, 3800, 345, 704, 2733, 1 
1, 7847, 3013, 11445600, 1029798, 2493521, 5708147, 31734 
161, 7824, 251, 953800, 187942, 345072, 953258, 31820 
162, 7824, 1597, 6064800, 3001655, 8001028, 5526396, 27908 
163, 7824, 1606, 6099000, 3001247, 8001025, 5529275, 28413 
164, 7824, 2039, 7748200, 3374316, 8683667, 7207319, 75222 
165, 7824, 251, 953800, 186689, 341707, 921151, 28954 
166, 7824, 245, 927200, 186640, 341706, 932884, 26214 
167, 7824, 295, 1121000, 186925, 342825, 1106380, 31572 
168, 7824, 1586, 6026800, 3001640, 8000990, 5476230, 29998 
169, 7824, 1569, 5962200, 3001672, 8000989, 5463593, 28456 
170, 7824, 1989, 7558200, 3374327, 8683628, 7018475, 72950 
171, 7824, 282, 1075400, 186670, 341707, 1054538, 24634 
172, 7824, 288, 1090600, 186649, 341706, 1094595, 26991 
173, 7824, 2, 7600, 436, 735, 8760, 79 
174, 7824, 1, 3800, 344, 704, 2759, 4 
1, 7848, 4055, 15412800, 1043352, 2516836, 6363318, 36149 
175, 7824, 3, 7600, 370, 651, 7972, 74 
176, 7824, 1, 3800, 346, 704, 3110, 8 
1, 7849, 3563, 13535600, 1035094, 2504876, 5652480, 32763 
177, 7824, 2, 3800, 368, 651, 6900, 72 
178, 7824, 1, 3800, 340, 704, 3228, 8 
1, 7850, 3649, 13870000, 1036469, 2505742, 6062407, 33341 
179, 7824, 817, 3104600, 726955, 1236988, 3060895, 79592 
180, 7824, 2312, 8789400, 3003243, 6001753, 6725767, 125453 
181, 7824, 2405, 9139000, 3003467, 6001760, 6796644, 125477 
182, 7824, 3872, 14709800, 4457742, 8470998, 12660187, 274768 
183, 7824, 822, 3119800, 727738, 1235005, 3076299, 79498 
184, 7824, 816, 3100800, 727742, 1235005, 3068228, 79502 
185, 7824, 248, 938600, 187062, 342825, 911033, 31669 
186, 7824, 1576, 5985000, 3001646, 8001021, 5434830, 26877 
187, 7824, 1560, 5924200, 3001649, 8001027, 5444131, 28767 
188, 7824, 2002, 7607600, 3374316, 8683667, 7073570, 78117 
189, 7824, 260, 984200, 186659, 341706, 988946, 28944 
190, 7824, 253, 961400, 186657, 341706, 965599, 29658 
191, 7824, 266, 1010800, 186993, 342824, 1015980, 31554 
192, 7824, 1586, 6026800, 3001616, 8001022, 5444599, 28028 
193, 7824, 1565, 5947000, 3001647, 8001028, 5442637, 29227 
194, 7824, 1990, 7565800, 3374357, 8683668, 6975567, 73262 
195, 7824, 254, 965200, 186682, 341707, 946285, 30252 
